SOEM (Simple Open EtherCAT Master)
Simple test
Starting Controller
ec_init on eno3 succeeded.
1 slaves found and configured.
Configuring DC. Should be in PRE-OP. State: PRE_OP
Found slaves with DC.
Slaves mapped, state to SAFE_OP... State: SAFE_OP
Calculated workcounter 3
Synccount needs to reach : 125

WKC:  2 DCTime:      2903417024, DiffInDC: 2903417024, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      2911603264, DiffInDC:   8186240, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      2919558584, DiffInDC:   7955320, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      2927543545, DiffInDC:   7984961, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      2935544504, DiffInDC:   8000959, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      2943537304, DiffInDC:   7992800, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      2951542424, DiffInDC:   8005120, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      2959574424, DiffInDC:   8032000, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      2967604904, DiffInDC:   8030480, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      2975583544, DiffInDC:   7978640, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      2983582424, DiffInDC:   7998880, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3095787264, DiffInDC:   8061039, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3103801504, DiffInDC:   8014240, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3111756064, DiffInDC:   7954560, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3119817985, DiffInDC:   8061921, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3127776624, DiffInDC:   7958639, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3135851584, DiffInDC:   8074960, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3143795665, DiffInDC:   7944081, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3151820385, DiffInDC:   8024720, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3159875264, DiffInDC:   8054879, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3167825544, DiffInDC:   7950280, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3175849784, DiffInDC:   8024240, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3183859224, DiffInDC:   8009440, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3191854185, DiffInDC:   7994961, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3199864984, DiffInDC:   8010799, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3207887865, DiffInDC:   8022881, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3215897464, DiffInDC:   8009599, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3223910665, DiffInDC:   8013201, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3231915304, DiffInDC:   8004639, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3239961784, DiffInDC:   8046480, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3247919225, DiffInDC:   7957441, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3255970424, DiffInDC:   8051199, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3263989225, DiffInDC:   8018801, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3272018985, DiffInDC:   8029760, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3280002425, DiffInDC:   7983440, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3287961225, DiffInDC:   7958800, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3295962544, DiffInDC:   8001319, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3304052464, DiffInDC:   8089920, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3312001024, DiffInDC:   7948560, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3319995824, DiffInDC:   7994800, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3328054384, DiffInDC:   8058560, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3336067425, DiffInDC:   8013041, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3344034064, DiffInDC:   7966639, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3352026464, DiffInDC:   7992400, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3360063504, DiffInDC:   8037040, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3368043184, DiffInDC:   7979680, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3376104065, DiffInDC:   8060881, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3384058945, DiffInDC:   7954880, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3392110304, DiffInDC:   8051359, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3400074145, DiffInDC:   7963841, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3408150625, DiffInDC:   8076480, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3416103825, DiffInDC:   7953200, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3424152184, DiffInDC:   8048359, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3432112024, DiffInDC:   7959840, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3440157865, DiffInDC:   8045841, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3448155864, DiffInDC:   7997999, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3456177145, DiffInDC:   8021281, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3464131545, DiffInDC:   7954400, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3472193944, DiffInDC:   8062399, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3480146264, DiffInDC:   7952320, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3488152744, DiffInDC:   8006480, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3496214905, DiffInDC:   8062161, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3504216264, DiffInDC:   8001359, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3512219464, DiffInDC:   8003200, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3520179864, DiffInDC:   7960400, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3528253144, DiffInDC:   8073280, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3536239224, DiffInDC:   7986080, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3544209905, DiffInDC:   7970681, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3552233505, DiffInDC:   8023600, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3560221104, DiffInDC:   7987599, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3568232544, DiffInDC:   8011440, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3576225904, DiffInDC:   7993360, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3584244465, DiffInDC:   8018561, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3592283344, DiffInDC:   8038879, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3600243504, DiffInDC:   7960160, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3608302145, DiffInDC:   8058641, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3616256064, DiffInDC:   7953919, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3624257344, DiffInDC:   8001280, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3632281024, DiffInDC:   8023680, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3640273744, DiffInDC:   7992720, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3648275024, DiffInDC:   8001280, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3656286465, DiffInDC:   8011441, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3664335104, DiffInDC:   8048639, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3672349305, DiffInDC:   8014201, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3680303385, DiffInDC:   7954080, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3688304904, DiffInDC:   8001519, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3696313944, DiffInDC:   8009040, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3704338184, DiffInDC:   8024240, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3712338824, DiffInDC:   8000640, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3720331304, DiffInDC:   7992480, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3728387704, DiffInDC:   8056400, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3736356425, DiffInDC:   7968721, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3744361944, DiffInDC:   8005519, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3752421705, DiffInDC:   8059761, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3760357464, DiffInDC:   7935759, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3768361225, DiffInDC:   8003761, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3776385064, DiffInDC:   8023839, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3784407624, DiffInDC:   8022560, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3792397944, DiffInDC:   7990320, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3800384304, DiffInDC:   7986360, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3808398144, DiffInDC:   8013840, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3816406944, DiffInDC:   8008800, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3824411904, DiffInDC:   8004960, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3832400784, DiffInDC:   7988880, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3840403504, DiffInDC:   8002720, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3848413744, DiffInDC:   8010240, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3856413424, DiffInDC:   7999680, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3864422465, DiffInDC:   8009041, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3872496945, DiffInDC:   8074480, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3880446945, DiffInDC:   7950000, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3888433425, DiffInDC:   7986480, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3896436784, DiffInDC:   8003359, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3904498145, DiffInDC:   8061361, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3912451105, DiffInDC:   7952960, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3920506984, DiffInDC:   8055879, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3928457864, DiffInDC:   7950880, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3936464345, DiffInDC:   8006481, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3944481704, DiffInDC:   8017359, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3952486745, DiffInDC:   8005041, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3960472024, DiffInDC:   7985279, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3968479784, DiffInDC:   8007760, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3976492504, DiffInDC:   8012720, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3984490265, DiffInDC:   7997761, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      3992489065, DiffInDC:   7998800, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4000497784, DiffInDC:   8008719, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4008502584, DiffInDC:   8004800, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4016501865, DiffInDC:   7999281, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4024506584, DiffInDC:   8004719, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4032552424, DiffInDC:   8045840, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4040518265, DiffInDC:   7965841, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4048522544, DiffInDC:   8004279, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4056527024, DiffInDC:   8004480, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4064530865, DiffInDC:   8003841, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4072534064, DiffInDC:   8003199, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4080538384, DiffInDC:   8004320, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4088536704, DiffInDC:   7998320, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4096546224, DiffInDC:   8009520, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4104546304, DiffInDC:   8000080, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4112547824, DiffInDC:   8001520, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4120558224, DiffInDC:   8010400, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4128569424, DiffInDC:   8011200, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4136578304, DiffInDC:   8008880, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4144568304, DiffInDC:   7990000, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4152614464, DiffInDC:   8046160, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4160575104, DiffInDC:   7960640, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4168574705, DiffInDC:   7999601, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4176577384, DiffInDC:   8002679, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4184578104, DiffInDC:   8000720, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4192602504, DiffInDC:   8024400, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4200588744, DiffInDC:   7986240, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4208596024, DiffInDC:   8007280, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4216651465, DiffInDC:   8055441, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4224620184, DiffInDC:   7968719, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4232600984, DiffInDC:   7980800, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4240608264, DiffInDC:   8007280, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4248659704, DiffInDC:   8051440, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4256625464, DiffInDC:   7965760, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4264617544, DiffInDC:   7992080, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4272616024, DiffInDC:   7998480, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4280619785, DiffInDC:   8003761, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:      4288621064, DiffInDC:   8001279, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:         1658008, DiffInDC: -4286963056, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:         9661569, DiffInDC:   8003561, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
WKC:  3 DCTime:        17654689, DiffInDC:   7993120, cStatus: 0x0000, mStatus: 0x0000, ctrlWord: 0x0030, slavestate: 4
